#ksql cpu,ksql free,ksql wrt,ramen cpu,ramen free,ramen wrt
21,221072,540,36,1080162,38
310,184317,540,176,1079808,166
1026,161940,686,307,1079568,176
1782,134631,2702,441,1079338,594
2558,105537,4496,576,1079249,644
3339,84911,4916,717,1079528,644
4098,77216,7610,866,1079469,810
4765,46027,10934,1008,1079155,838
5500,49487,13158,1140,1078939,2592
6200,51492,15600,1275,1079198,2642
6803,53895,19740,1402,1079010,2642
7083,162921,21026,1546,1078974,3048
7366,158351,21652,1685,1079012,3076
7703,151031,24204,1815,1079853,3638
8018,146993,29766,1948,1079558,3760
8304,142528,184048,2080,1077812,3760
8481,141513,184060,2215,1079643,3930
8845,137102,195486,2345,1079625,3988
9429,135115,260510,2427,1079883,5738
10195,146128,279432,2441,1079615,5894
10966,135518,346960
11725,125180,351056
12214,122826,353340
12347,138667,439506
